id,zcr,energy,energy_entropy,spectral_centroid,spectral_spread,spectral_entropy,spectral_flux,spectral_rolloff,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,chroma_1,chroma_2,chroma_3,chroma_4,chroma_5,chroma_6,chroma_7,chroma_8,chroma_9,chroma_10,chroma_11,chroma_12,chroma_std,anomaly
0,0.0446293494704992,0.1459398781204073,3.263258961453566,0.1637735636687473,0.2159356154430444,0.2569382072224482,0.0084924403841878,0.0574886535552193,-21.253259925060394,1.8009332803860354,-0.4583021507779831,0.0121539209037483,-0.944419292651163,0.1362635881734153,0.339039656756945,0.0209148570816516,0.1052906892059685,0.2673160023601583,-0.3602692758852477,-0.5513892792700015,-0.4231243730627365,0.0209278163983581,0.1378780801532356,0.0070616095323356,0.0232388942652266,0.0012836795215761,0.0033125830602787,0.0029482502898244,0.004458905677797,0.001921566995289,0.0042071657103547,0.0113404887993299,0.0009715726998008,0.0367576712412679,0.0
2,0.0279878971255673,0.1739394453803455,3.253800144970056,0.1528413309046634,0.2085568885609001,0.2499785556006185,0.0009748062584549,0.0544629349470499,-20.98126517676853,1.9191151940385656,-0.1102412670877109,-0.0172405944363401,-0.8429688978518861,0.0346115995955167,-0.1074006868052854,0.122037939007612,0.3335917082528127,0.1686024474722315,-0.3065537276056779,-0.6637614015026089,-0.5995376183656166,0.027428298884493,0.1246779706329151,0.0131110643712242,0.0244843473594708,0.0011941012450994,0.0031401308917649,0.001478171959925,0.0086016630735934,0.0017732017329083,0.0036832506305975,0.0125399765553745,0.0013763368180485,0.0331277166766955,0.0
3,0.040090771558245,0.1384301330263055,3.1736156895407275,0.1470574250944012,0.2060171176378567,0.2431543948766514,0.0008438889635726,0.0544629349470499,-21.310778116351447,2.244614073676444,-0.3412933002019531,0.0296510980300038,-0.9055377337044904,-0.1853603943667608,-0.0038612413666121,0.0986721312986905,0.0103185067763576,0.1901948590942871,-0.4947918191351311,-0.7157946276397489,-0.425025846162423,0.0258098893055756,0.1067003777419386,0.0092902345416659,0.0310473018199954,0.0035866253326356,0.0059184955552894,0.0017738886163545,0.0088135111226684,0.0007268164876324,0.003827691789829,0.0160736847766243,0.0012897414314473,0.0283699986171079,0.0
4,0.0393343419062027,0.1694838173643676,3.2001910321766647,0.1337464264739896,0.1829475118984776,0.257049361614616,0.0009969267994165,0.0544629349470499,-21.081264375803507,2.1203579751873027,-0.0489520515399918,0.3617501403376612,-0.7710688587599009,-0.2264662059005213,-0.1643645877630808,0.1515760673183589,0.1171689074129279,0.4460329808622443,-0.640335351451871,-0.4677053102679167,-0.2786324615029111,0.0146008728664559,0.1314464361273745,0.0024161202352122,0.0234146235726684,0.0022692723211309,0.0036717617950678,0.0018973702170596,0.0084508066650343,0.000282511553709,0.0029320099892435,0.0236492080501091,0.0027993913768167,0.0350721945378608,0.0
6,0.0461422087745839,0.1336018038362996,3.2055632952808897,0.1363928429728694,0.1828467859590042,0.3194259895771204,0.0018551552202552,0.0650529500756429,-21.036902791471512,1.833043086315988,-0.0015177697106772,0.4131469495089223,-0.8276761038421738,-0.2256805957316982,-0.1966528234714201,0.1998349193821451,0.3367393010573858,0.555625073117265,-0.5530078795130284,-0.5903070991830304,-0.4452414204304095,0.0363008722139528,0.0907934581094822,0.0119101608278767,0.0202953092358828,0.0015148601631385,0.0095967403188909,0.0011456527849552,0.0063837911130553,0.0012697755530636,0.008965911811435,0.0213960490360352,0.0017240361803153,0.0242790304126594,0.0
7,0.048411497730711,0.1013079536178598,3.061427471328594,0.140724309361583,0.1837043088506572,0.327048988604348,0.001494456664659,0.0665658093797276,-21.408139062431072,1.846292199014808,-0.0580810808416417,0.4510344789486529,-0.6587887839315252,0.0008896049426763,-0.2344678737139098,-0.2589054525298194,0.1537830788394178,0.4446424752584648,-0.3227864713122964,-0.798964324559992,-0.4740445753516151,0.013015953019409,0.0800325364397599,0.0101905064416196,0.0335965933633748,0.0004298010142041,0.0035030235673154,0.0015193937818898,0.0245682470826193,0.0059227652065223,0.0060354739801945,0.0206495107773463,0.0010580757695206,0.0215519498792201,0.0
8,0.0431164901664145,0.1263348144984933,3.2049037709817534,0.152249679149836,0.2032960231922522,0.3101064515183835,0.000861162028741,0.0544629349470499,-21.174492715541696,2.224416328587337,-0.1711898918788698,0.2351880079593585,-0.655647315709954,-0.0797792445660291,0.0141158956170045,-0.0081112417947357,0.1675876187246147,0.2810194256950911,-0.6283107285920841,-0.3814219497571072,-0.2265961449304488,0.0170975301372004,0.1111942746582899,0.0081027323700097,0.0213278483684521,0.0052309463472224,0.0048617125598664,0.0030775822583874,0.0147962694192851,0.001553056636428,0.0031982101334843,0.0231051310047632,0.0012258718572037,0.0290982908458936,0.0
11,0.0408472012102874,0.113629102930022,3.1803268701000835,0.1472430690564876,0.18760801707487,0.3710643685274131,0.0009743869304656,0.0574886535552193,-21.34921973743437,1.6952909210001526,-0.0435211899613269,0.2688594474326191,-0.1859862147412037,0.1146238217404944,0.0178884186858045,0.4260012030463329,0.3431586809231838,0.4998737522611308,-0.4154111777476018,-0.7425647365009482,-0.4252930128772295,0.0105310346964076,0.1008957462082445,0.0094858059607968,0.0361197030103272,0.0009278869857365,0.008528504419976,0.00354742294717,0.0044923711864933,0.0011975698370653,0.005333577770548,0.0275585888086219,0.0037001265759121,0.0271389756149281,0.0
12,0.0431164901664145,0.1506749677972327,3.201594177257124,0.1413842427412204,0.1843656784309937,0.3755261406916031,0.0018200690392404,0.0650529500756429,-20.82005927418085,1.6744984793761093,-0.066405717547428,0.5029993216839763,-0.2626529346889335,0.0808391174751026,-0.1355195109688381,0.1016353528001155,0.0389632683763875,0.4890431783146073,-0.3615075537610221,-0.6254658532516246,-0.2618351026604307,0.0069237796250365,0.0691943640014722,0.0084363696381302,0.0722076147941334,0.0013755541295822,0.0108077797664475,0.0008053415431021,0.010953537579746,0.0028698536623213,0.0057138747503185,0.0240975650439477,0.0045360810301175,0.0242296359535018,0.0
13,0.048411497730711,0.1554269539765007,3.208760671726312,0.1346151673158702,0.1795922954871941,0.3028283683647806,0.0010698025580495,0.0544629349470499,-20.845690993822704,2.0610800890488936,-0.1159218371075083,0.416252372493045,-0.5738728863493354,-0.2442914685254363,-0.1641026852744365,0.0277332659489237,0.0727858764320896,0.307313094891696,-0.4531767941005564,-0.6068076895299668,-0.4214253961588838,0.0197183745579693,0.085773066250156,0.0077981059271306,0.0448823682708819,0.0012424554423479,0.0076277453821418,0.0014549860959743,0.020449893810612,0.0008449589882792,0.0069018305007258,0.0153872390597482,0.0028913529202147,0.023705650962667,0.0
